Time,Rotor Speed (omega),Aerodynamic Torque (T_m),Wind Speed,Pitch Angle
44.34434434434435,inf,-0.0,6.076762599547158,3.795333471102495
44.44444444444445,inf,-0.0,6.071365766142443,3.7873581552523286
44.54454454454455,inf,-0.0,6.066162180853688,3.7794132161080305
44.64464464464465,inf,-0.0,6.06115236507735,3.771498852690508
44.74474474474475,inf,-0.0,6.0563368207942805,3.7636152632547457
44.84484484484485,inf,-0.0,6.051716030519437,3.755762645284838
44.94494494494495,inf,-0.0,6.047290457253526,3.7479411954890445
45.04504504504505,inf,-0.0,6.043060544436614,3.7401511097948603
45.14514514514515,inf,-0.0,6.039026715903699,3.732392583344111
45.24524524524525,inf,-0.0,6.035189375842236,3.7246658104880606
45.34534534534535,inf,-0.0,6.031548908751641,3.716970984782545
45.44544544544545,inf,-0.0,6.0281056794047645,3.709308298983124
45.54554554554555,inf,-0.0,6.024860032811341,3.7016779450402515
45.64564564564565,inf,-0.0,6.021812294183417,3.694080114094468
45.74574574574575,inf,-0.0,6.018962768902771,3.6865149964716117
45.84584584584585,inf,-0.0,6.016311742490306,3.6789827816780516
45.94594594594595,inf,-0.0,6.013859480577446,3.6714836583959407
46.04604604604605,inf,-0.0,6.011606228879524,3.664017814478487
46.14614614614615,inf,-0.0,6.009552213171148,3.656585436945252
46.24624624624625,inf,-0.0,6.00769763926359,3.649186711977462
46.34634634634635,inf,-0.0,6.006042692984163,3.6418218249133467
46.44644644644645,inf,-0.0,6.004587540157597,3.6344909602434945
46.54654654654655,inf,-0.0,6.003332326589423,3.6271943016062327
46.64664664664665,inf,-0.0,6.002277178051369,3.6199320317830264
46.74674674674675,inf,-0.0,6.001422200268752,3.612704332693901
46.84684684684685,inf,-0.0,6.000767478909887,3.605511385392882
46.94694694694695,inf,-0.0,6.000313079577503,3.598353370063465
47.04704704704705,inf,-0.0,6.00005904780217,3.5912304660140966
47.14714714714715,inf,-0.0,6.000005409037736,3.5841428516736857
47.24724724724725,inf,-0.0,6.000152168658775,3.577090704587133
47.34734734734735,inf,-0.0,6.000499311960053,3.5700742014108844
47.44744744744745,inf,-0.0,6.001046804157998,3.5630935179085044
47.54754754754755,inf,-0.0,6.001794590394182,3.5561488289462733
47.64764764764765,inf,-0.0,6.002742595740829,3.5492403084888084
47.74774774774775,inf,-0.0,6.00389072520831,3.5423681295947054
47.84784784784785,inf,-0.0,6.005238863754668,3.535532464412201
47.94794794794795,inf,-0.0,6.006786876297143,3.5287334841748645
48.04804804804805,inf,-0.0,6.008534607725711,3.5219713591973063
48.14814814814815,inf,-0.0,6.010481882918617,3.5152462588709117
48.24824824824825,inf,-0.0,6.012628506759932,3.5085583516595955
48.34834834834835,inf,-0.0,6.0149742641590995,3.5019078050955876
48.44844844844845,inf,-0.0,6.017518920072485,3.4952947857752306
48.54854854854855,inf,-0.0,6.02026221952693,3.488719459354809
48.64864864864865,inf,-0.0,6.023203887645301,3.4821819905464
48.74874874874875,inf,-0.0,6.026343629674031,3.475682543113746
48.84884884884885,inf,-0.0,6.029681131012651,3.4692212798681537
48.94894894894895,inf,-0.0,6.033216057245316,3.4627983626644143
49.04904904904905,inf,-0.0,6.036948054174316,3.456413952396751
49.14914914914915,inf,-0.0,6.040876747855558,3.4500682089947867
49.24924924924925,inf,-0.0,6.045001744636043,3.443761291419537
49.34934934934935,inf,-0.0,6.049322631193305,3.4374933576594326
49.44944944944945,inf,-0.0,6.053838974576828,3.431264564726356
49.54954954954955,inf,-0.0,6.058550322251428,3.4250750686517124
49.64964964964965,inf,-0.0,6.063456202142593,3.4189250244825207
49.74974974974975,inf,-0.0,6.068556122683789,3.4128145862775265
49.84984984984985,inf,-0.0,6.073849572865715,3.4067439071033467
49.94994994994995,inf,-0.0,6.079336022287499,3.400713139030633
50.050050050050054,inf,-0.0,6.085014921209852,3.3947224331302626
50.150150150150154,inf,-0.0,6.090885700610147,3.3887719394695557
50.250250250250254,inf,-0.0,6.096947772239437,3.3828618071085135
50.350350350350354,inf,-0.0,6.103200528681397,3.3769921840960873
50.450450450450454,inf,-0.0,6.109643343413182,3.371163217466467
50.550550550550554,inf,-0.0,6.116275570868211,3.3653750532354
50.650650650650654,inf,-0.0,6.123096546500853,3.3596278363965313
50.750750750750754,inf,-0.0,6.130105586853004,3.353921710917775
50.850850850850854,inf,-0.0,6.137301989622581,3.3482568197377036
50.950950950950954,inf,-0.0,6.144685033733886,3.342633304761971
51.051051051051054,inf,-0.0,6.152253979409858,3.337051306859755
51.151151151151154,inf,-0.0,6.160008068246199,3.3315109658602307
51.251251251251254,inf,-0.0,6.167946523287366,3.3260124205490667
51.351351351351354,inf,-0.0,6.176068549104421,3.320555808664948
51.451451451451454,inf,-0.0,6.184373331874733,3.315141266896127
51.551551551551555,inf,-0.0,6.192860039463522,3.3097689308769986
51.651651651651655,inf,-0.0,6.201527821507239,3.3044389351847023
51.751751751751755,inf,-0.0,6.210375809498771,3.299151413335752
51.851851851851855,inf,-0.0,6.219403116874466,3.2939064977826904
51.951951951951955,inf,-0.0,6.228608839102967,3.288704319910772
52.052052052052055,inf,-0.0,6.237992053775843,3.283545010034671
52.152152152152155,inf,-0.0,6.247551820700014,3.278428697395218
52.252252252252255,inf,-0.0,6.257287181991964,3.2733555101561604
52.352352352352355,inf,-0.0,6.26719716217371,3.2683255754009544
52.452452452452455,inf,-0.0,6.277280768270554,3.263339019129581
52.552552552552555,inf,-0.0,6.2875369899105715,3.258395966255388
52.652652652652655,inf,-0.0,6.297964799425854,3.253496540601963
52.752752752752755,inf,-0.0,6.308563151955481,3.24864086490003
52.852852852852855,inf,-0.0,6.319330985550212,3.243829060784376
52.952952952952955,inf,-0.0,6.330267221278896,3.2390612487908044
53.053053053053056,inf,-0.0,6.341370763336577,3.2343375483531136
53.153153153153156,inf,-0.0,6.352640499154296,3.2296580778001083
53.253253253253256,inf,-0.0,6.364075299510567,3.2250229543526316
53.353353353353356,inf,-0.0,6.375674018644527,3.220432294120632
53.453453453453456,inf,-0.0,6.387435494370739,3.215886212100253
